Proveedor,Texto breve material,CATEGORIA,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS SALTILLO,CIUDAD VICTORIA CENTRO,1944,10,MD2C19BX2TWJ51216,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS SAN LUIS,MACROPAY SAN FCO DEL RINCON GALERIAS,1822,10,MD2C19BX7TWJ51177,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS SAN LUIS,MACROPAY SLP CALLEJON DEL CODO,1639,10,MD2C19BX8TWJ54265,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS SAN LUIS,SAN LUIS POTOSI FUNDADORES,1912,10,MD2C19BX4TWJ54215,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS TAB PXGL,MACROPAY EMILIANO ZAPATA CORREGIDORA,1188,10,MD2C19BX7TWJ53933,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS TAB PXGL,MACROPAY MATIAS ROMERO ILUSTRES,1148,10,MD2C19BX5TWJ54174,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS TAB PXGL,MACROPAY MATIAS ROMERO MOTOS CENTRO,1868,10,MD2C19BX3TWJ54271,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",STREET,CEDIS TAB PXGL,MACROPAY MINATITLAN MIGUEL HID MOTOS,1827,10,MD2C19BX7TWJ54175,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY CIUDAD CARDEL CENTRO,1906,10,MD2C19BX5TWH52249,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY CUAUTLA CAPITAN M ANZUREZ 93B,1710,10,MD2C19BX3TWH52248,1,$29567.33,0,$0,0,0
